id_alimento;Grupo;Fuente;Alimento;Energia_kcal;Proteina_g;Grasa_total_g;Carbohidratos_g;Fibra_g;AGS_g;AGM_g;AGPI_g;Colesterol_mg;Calcio_mg;Fosforo_mg;Hierro_mg;Potasio_mg;Sodio_mg;Zinc_mg;VitaminaC_mg;VitaminaA_ug_ERE;Folatos_ug;VitaminaB12_ug
594;lacteos;1;Queso, cottage, semidescremado 2% grasa;86,85;13,74;1,93;3,63;0;1,22;0,55;0,06;8;69;151;0,16;96;406;0,42;0;21;13;0,71
595;lacteos;;Queso, de cabra, Castillo de Holanda;391,6;21,4;34;0;;23;;;;;;;;1,6;;;;;
596;lacteos;1;Queso, fresco, leche entera;264,1;17,5;20,1;3,3;;;;;;783;375;1,3;;;;0;420;;
597;lacteos;;Queso, fresco, leche semidescremada;168,04;24,35;7;1,91;0;4,34;2,08;0,22;;;484;0,42;66;612;1,82;0;60;11;
598;lacteos;2;Queso, fresco, light;175,4;24,6;7;3,5;0;4,41;2,01;0,22;35;684;827;0,43;180;1789;3,32;0;57;9;0,77
599;lacteos;;Queso, fresco, semi-mature, Fedac;336,67;16,67;30;0;;20;10;0;96,67;;;;;1166,67;;;;;
600;lacteos;1;Queso, gouda;355,6;24,94;27,44;2,22;0;17,61;7,75;0,66;114;;546;0,24;121;819;3,9;0;165;21;1,54
601;lacteos;;Queso, gouda, Castillo de Holanda;346;23,5;28;0;;19;;;;;;;;1,9;;;;;
602;lacteos;2;Queso, holandés;362,81;24,99;28,57;1,43;0;18,67;8,13;0,67;89;731;536;0,44;188;973;3,75;0;243;16;1,54
603;lacteos;;Queso, holandés, gouda, Alpina;376,67;26,67;30;0;0;16,67;;;83,33;;;;;416,67;;;;;
604;lacteos;7;Queso, laminado, mantecoso, chanco, San Rafael;360;26;28;1;;18,2;8;1,8;114;;;;;800;;;;;
605;lacteos;;Queso, maduro, gouda, Castillo de Holanda;362;23;30;0;;21;;;;;;;;1,8;;;;;
606;lacteos;2;Queso, manchego;435,67;25;35,71;3,57;0;28,57;;;71;857;;0;;643;;0;536;;
607;lacteos;;Queso, mozarella, bajo en grasa;251,4;24,26;15,92;2,77;0;10,11;4,51;0,47;64;782;463;0,22;84;619;2,76;0;127;9;
608;lacteos;1;Queso, mozarella, leche descremada, bajo en grasa;251,4;24,26;15,92;2,77;0;10,11;4,51;0,47;64;782;463;0,22;84;619;2,76;0;127;9;0,82
609;lacteos;;Queso, mozarella, leche entera;298,59;22,17;22,35;2,19;0;13,15;6,57;0,76;79;505;354;0,44;76;627;2,92;0;179;7;
610;lacteos;1;Queso, parmesano, duro;388,35;35,75;25,83;3,22;0;16,41;7,51;0,57;68;1184;694;0,82;92;1602;2,75;0;108;7;1,2
611;lacteos;;Queso, ricotta, leche descremada, bajo en grasa;137,31;11,39;7,91;5,14;0;4,93;2,31;0,26;31;272;183;0,44;125;125;1,34;0;107;13;
612;lacteos;1;Queso, ricotta, leche entera;174,02;11,26;12,98;3,04;0;8,3;3,63;0,38;51;207;158;0,38;105;84;1,16;0;120;12;0,34
613;lacteos;;Queso, roquefort;369,92;21,54;30,64;2;0;19,26;8,47;1,32;90;662;392;0,56;91;1809;2,08;0;294;49;
614;lacteos;1;Queso, suizo;332,41;24,73;25,01;2,1;0;16,05;7,05;0,62;85;772;762;0,61;216;1370;3,61;0;198;6;1,23
615;lacteos;;Queso, tipo cuajada, fresco, tierno;235;18,7;15,4;5,4;;;;;;;385;1,5;;;;0;153;;
616;lacteos;1;Queso, tipo requesón, promedio;116,2;12,3;3;10;;4,3;1,8;0,2;;;;0,5;54;450;0,5;0;;;0,5
617;lacteos;;Yogurt con cereal, sabor frutilla, hojuelas de maíz, Toni;140,44;3,15;3,68;23,68;0;2,63;1,05;0;;;;;;100;;;;;
618;lacteos;7;Yogurt, con mermelada, yougourmet, Toni;133,33;4;2,67;23,33;;2,67;0,67;0,67;18,67;;;;;66,67;;;;;
619;lacteos;;Yogurt, de fruta, bajo en grasa;103,4;4,37;1,08;19,05;0;0,7;0,3;0,03;;;119;0,07;195;58;0,74;0,7;10;9;
620;lacteos;1;Yogurt, leche descremada, sabor de fruta;100,83;3,98;1,15;18,64;0;0,74;0,32;0,03;;;109;0,06;177;53;0,67;1;11;9;0,43
621;lacteos;;Yogurt, leche entera, sabor a mora, Toni;112;3,5;4;15,5;0;2,5;1;0,5;9;;;;;75;;;;;
622;lacteos;2;Yogurt, leche semi-descremada;63,72;3,33;2,08;7,92;0;1,42;;;8;;;0;;40;;0;37,5;;
623;lacteos;;Yogurt, natural, leche descremada, bajo en grasa;55,26;5,73;0,18;7,68;0;0,12;0,05;0;2;;157;0,09;255;77;0,97;1;2;12;
624;lacteos;1;Yogurt, natural, leche entera;61,77;3,47;3,25;4,66;0;2,1;0,89;0,09;13;121;95;0,05;155;46;0,59;1;27;7;0,37
625;lacteos;;Yogurt, semi-descremado, Dulac’s;64;3,33;2,67;6,67;0;0,67;0,67;0,67;8,67;;;;;53,33;;;;;
626;lacteos;7;Yogurt, tipo griego, Toni;65;8;1;6;0;0,67;0,33;0;6;;;;;46,67;;;;;
627;grasas y frutos secos;;Aceite, de aguacate;900;0;100;0;0;11,56;70,55;13,49;;0;0;0;0;0;0;0;0;0;
628;grasas y frutos secos;1;Aceite, de ajonjolí;900;0;100;0;0;14,2;39,7;41,7;0;0;0;0;0;0;0;0;0;0;0
629;grasas y frutos secos;;Aceite, de almendra;900;0;100;0;0;8,2;69,9;17,4;0;0;0;0;0;0;0;0;0;0;
630;grasas y frutos secos;2;Aceite, de canola;900;0;100;0;0;7,37;63,28;28,14;0;0;0;0;0;0;0;0;0;0;0
631;grasas y frutos secos;;Aceite, de coco;900;0;100;0;0;86,5;5,8;1,8;0;0;0;0,04;0;0;0;0;0;0;
632;grasas y frutos secos;1;Aceite, de girasol;900;0;100;0;0;10,1;45,4;40,1;0;0;0;0,03;0;0;0;0;0;0;0
633;grasas y frutos secos;;Aceite, de maíz;900;0;100;0;0;12,95;27,58;54,68;0;0;0;0;0;0;0;0;0;0;
634;grasas y frutos secos;2;Aceite, de nuez;900;0;100;0;0;9,1;22,8;63,3;0;0;0;0;0;0;0;0;0;0;0
635;grasas y frutos secos;;Aceite, de oliva;900;0;100;0;0;13,81;72,96;10,52;0;1;0;0,56;1;2;0;0;0;0;
636;grasas y frutos secos;1;Aceite, de palma;900;0;100;0;0;49,3;37;9,3;0;0;0;0,01;0;0;0;0;0;0;0
637;grasas y frutos secos;;Aceite, de soya;900;0;100;0;0;14,4;23,3;57,9;;;0;0,02;0;0;0,01;0;0;0;
638;grasas y frutos secos;7;Aceitunas, negras, envasada, Mallorca;147;1;15;2;2;2;10;2;;;;;;620;;;;;
639;grasas y frutos secos;;Aceitunas, verdes, envasada, promedio;124,52;0,84;10,68;6,26;3,2;1,41;7,89;0,91;0;88;3;3,3;8;872;0,22;1;20;0;
