id_alimento;Grupo;Fuente;Alimento;Energia_kcal;Proteina_g;Grasa_total_g;Carbohidratos_g;Fibra_g;AGS_g;AGM_g;AGPI_g;Colesterol_mg;Calcio_mg;Fosforo_mg;Hierro_mg;Potasio_mg;Sodio_mg;Zinc_mg;VitaminaC_mg;VitaminaA_ug_ERE;Folatos_ug;VitaminaB12_ug
1;Cereales, Tuberculos y platanos ;;Amaranto, grano seco;381,07;14,45;6,51;66,17;9,3;1,66;1,43;2,89;0;153;455;7,59;366;21;3,18;4;0;49;
2;Cereales, Tuberculos y platanos ;2;Arroz blanco grano largo, cocido;125,96;2,69;0,28;28,17;0,4;0,08;0,09;0,08;0;10;43;0,2;35;382;0,49;0;0;3;0
3;Cereales, Tuberculos y platanos ;;Arroz blanco, grano corto;347,28;6,5;0,52;79,15;;0,14;0,16;0,14;0;3;95;0,8;76;1;1,1;0;;6;
4;Cereales, Tuberculos y platanos ;2;Arroz blanco, grano corto, cocido;126,07;2,36;0,19;28,73;;0,05;0,06;0,05;0;1;33;0,2;26;0;0,4;0;;2;0
5;Cereales, Tuberculos y platanos ;;Arroz blanco, grano largo crudo;354,26;7,13;0,66;79,95;1,3;0,18;0,21;0,18;0;28;115;0,8;115;5;1,09;0;0;8;
6;Cereales, Tuberculos y platanos ;2;Arroz blanco, grano largo, parbolizado, cocido;119,17;2,91;;26,05;0,9;0,07;0,07;0,09;0;19;55;0,24;56;2;0,37;0;;3;0
7;Cereales, Tuberculos y platanos ;;Arroz blanco, grano largo, parbolizado, crudo;362,87;7,51;1,03;80,89;1,8;0,29;0,26;0,32;0;71;153;0,74;174;2;1,02;0;0;8;
8;Cereales, Tuberculos y platanos ;2;Arroz blanco, grano medio, cocido;125,77;2,38;0,21;28,59;;0,06;0,07;0,06;;;37;0,2;29;0;0,42;0;;2;0
9;Cereales, Tuberculos y platanos ;;Arroz blanco, grano medio, crudo;349,02;6,61;0,58;79,34;;0,16;0,18;0,16;;;108;0,8;86;1;1,16;0;;9;
10;Cereales, Tuberculos y platanos ;1;Arroz blanco, pulido, enriquecido,precocido;369,02;7,82;0,94;82,32;1,9;0,15;0,14;0,22;;;118;6,3;27;10;1,43;0;0;466;0
11;Cereales, Tuberculos y platanos ;;Arroz integral, grano largo cocido;122,01;2,74;0,97;25,58;1,6;0,26;0,37;0,37;0;3;103;0,56;86;4;0,71;0;0;9;
12;Cereales, Tuberculos y platanos ;2;Arroz integral, grano largo crudo;363,96;7,54;3,2;76,25;3,6;0,59;1,05;1;0;9;311;1,29;250;5;2,13;0;0;23;0
13;Cereales, Tuberculos y platanos ;;Arroz integral, grano medio, cocido;110,79;2,32;0,83;23,51;1,8;0,17;0,3;0,3;;;77;0,53;79;1;0,62;0;0;4;
14;Cereales, Tuberculos y platanos ;2;Arroz integral, grano medio, crudo;358,8;7,5;2,68;76,17;3,4;0,54;0,97;0,96;;;264;1,8;268;4;2,02;0;0;20;0
15;Cereales, Tuberculos y platanos ;;Arroz precocido, eriquecido, crudo;369,02;7,82;0,94;82,32;1,9;0,15;0,14;0,22;0;;118;6,3;27;10;1,43;0;0;275;
16;Cereales, Tuberculos y platanos ;2;Arroz, tipo arrocillo, crudo;354,26;7,13;0,66;79,95;1,3;0,18;0,21;0,18;0;28;115;0,8;115;5;1,09;0;0;8;0
17;Cereales, Tuberculos y platanos ;;Avena, hojuelas, sin fortificar, Mosh;394,74;16,89;6,9;66,27;10,6;1,22;2,18;2,54;0;;523;4,72;429;2;3,97;0;0;56;
18;Cereales, Tuberculos y platanos ;1;Avena, molida, Quaker;372,9;15,5;6,1;64;10,9;1,08;1,92;2,23;0;357;357;28,93;354;286;3,07;0;1072;464;0
19;Cereales, Tuberculos y platanos ;;Brazo gitano, relleno de dulce, promedio;231,58;3,99;8,18;35,5;;;;;;;92;0,59;67;178;0,35;;;;
20;Cereales, Tuberculos y platanos ;2;Cebada perlada;360,96;9,91;1,16;77,72;15,6;0,24;0,15;0,56;0;29;221;2,5;280;9;213;0;1;23;0
21;Cereales, Tuberculos y platanos ;1;Cebada, perlada, grano entero;364,54;12,48;2,3;73,48;17,3;0,48;0,29;1,11;0;33;264;3,6;452;12;2,77;0;1;19;0
22;Cereales, Tuberculos y platanos ;;Cebada, tapioca, perlada, seca;355,7;0,19;0,02;88,69;0,9;0;0;0;0;20;7;1,58;11;1;0,12;0;0;4;
23;Cereales, Tuberculos y platanos ;1;Centeno, grano, crudo;360,58;14,76;2,5;69,76;14,6;0,29;0,3;1,12;0;33;374;2,67;264;6;3,73;0;1;60;0
24;Cereales, Tuberculos y platanos ;;Cereal desayuno, amaranto, horneado, Nutrial;404,55;13,64;4,55;77,27;;0;0;0;0;;;;;68,18;;;;;
25;Cereales, Tuberculos y platanos ;2;Cereal desayuno, arroz crocante;391,46;7,32;1,22;87,8;0;0;;;0;0;98;30,73;98;585;18,29;14,6;731,7;878;8,78
26;Cereales, Tuberculos y platanos ;;Cereal desayuno, arroz crocante;389,7;4,8;1,3;89,7;8,4;0,5;0,2;0,5;0;7;52;6;113;357;5;20;467;333;
27;Cereales, Tuberculos y platanos ;2;Cereal desayuno, arroz crocante sabor a chocolate;389,97;3,33;3,33;86,67;1,7;0;;;0;0;;6;;300;5;0;500,1;;2
28;Cereales, Tuberculos y platanos ;;Cereal desayuno, con pasas, Kellog’s;364,52;7,72;2,72;77,29;11,4;0,48;0,34;0,95;0;43;347;12,33;653;356;3,39;0;386;201;
29;Cereales, Tuberculos y platanos ;1;Cereal desayuno, corn flakes con miel, Kellog’s;392,3;6,8;1,9;87;3,4;0,3;1;0,6;;;60;6,2;102;700;0,3;20;502;553;5
30;Cereales, Tuberculos y platanos ;;Cereal desayuno, de arroz, con quinoa y chia, sabor a chile, Livekuna;448,57;8,57;14,29;71,43;2,86;2,86;4,29;8,57;;;;;;514,29;;;;;
31;Cereales, Tuberculos y platanos ;1;Cereal desayuno, froot loops, trix, Kellog’s;397,98;5,04;3,1;87,48;2,5;1,52;0,43;0,68;;;112;20,4;120;501;19;47;467;585;7,07
32;Cereales, Tuberculos y platanos ;;Cereal desayuno, granola, con miel y pasas, Schullo;471,11;15,56;17,78;62,22;8,89;2,22;11,11;3,33;0;;;;;66,67;;;;;
33;Cereales, Tuberculos y platanos ;2;Cereal desayuno, granola, con trigo y miel;441,38;10,55;11,62;73,65;10,2;1,24;6,6;2,68;;;357;392;483;50;2,95;0,2;2;37;0,17
34;Cereales, Tuberculos y platanos ;;Cereal desayuno, granola, muesli con frutas secas y nueces, promedio;393,4;8;4,6;80;5;0,85;2,12;1,14;;;273;2;279;376;1,1;0;0;13;
35;Cereales, Tuberculos y platanos ;2;Cereal desayuno, granola, preparada en casa;488,99;13,67;24,31;53,88;8,9;3,96;10,95;7,81;0;;431;3,95;539;26;4,17;1,2;1;84;0
36;Cereales, Tuberculos y platanos ;;Cereal desayuno, hojuelas azucaradas, zucaritas, Kellog’s;379,08;3,3;0,52;90,3;3,2;0,17;0,09;0,3;0;5;34;14,5;73;479;0,18;20;517;543;
37;Cereales, Tuberculos y platanos ;2;Cereal desayuno, hojuelas de maíz, original, Kellog’s;370;7,5;0,4;84,1;3,3;0,12;0,07;0,2;0;5;102;28,9;168;729;1;21;490;34;357
38;Cereales, Tuberculos y platanos ;;Cereal desayuno, hojuelas de trigo, All-bran;393,62;13,14;4,9;74,24;29,3;0,64;0,67;2,11;0;;1150;17,6;1020;242;12,4;20;525;2198;
39;Cereales, Tuberculos y platanos ;1;Cereal desayuno, Nesquik, sabor chocolate, Nestlé;408,6;5;5,4;85;0;1,3;;;;;133;15;223;615;12,5;20;501;553;5
40;Cereales, Tuberculos y platanos ;;Cereal desayuno, Special K, Kellog’s;381;17,8;1,8;73,4;1,4;0,4;0,3;0,4;0;23;48;28;53;667;0,7;68;500,1;1290;
41;Cereales, Tuberculos y platanos ;7;Cereal para niños, de trigo y leche, Cerelac;413,5;15;9,5;67;2;4,26;3,2;1,94;;;;;;150;;;;;
42;Cereales, Tuberculos y platanos ;;Chibil, masa de maíz, cocido al vapor, comercialmente preparado;261,2;4,54;17,64;21,07;;;;;;52;119;27,99;88;461;0,92;;;;
43;Cereales, Tuberculos y platanos ;7;Cous-cous, crudo, Dececco;349,5;13;1,5;71;3,4;0,2;;;;;;;;0,01;;;;;
44;Cereales, Tuberculos y platanos ;;Emborrajados, guineo, harina de trigo, frito, comercialmente preparado;211,99;2,42;7,79;33,05;;;;;;21;172;5,22;804;76;1,66;;;;
45;Cereales, Tuberculos y platanos ;7;Empanada, de morocho, con carne, Tasty;137,5;6,25;2,5;22,5;0;0,63;1,25;0;5;;;;;;;;;;
46;Cereales, Tuberculos y platanos ;;Empanadas, de viento, harina de trigo, frito, comercialmente preparado;356,75;8,72;12,15;53,13;;;;;;16;145;1,61;61;;0,61;;;;
47;Cereales, Tuberculos y platanos ;7;Galletas de dulce, con crema, sabor a fresa, Festival;467,26;5,95;14,88;77,38;0;7,44;5,95;1,49;0;;;;;193,45;;;;;
48;Cereales, Tuberculos y platanos ;;Galletas dulces, con chispas de chocolate, promedio;455;5,8;15,4;73,3;3,6;3,81;6,09;4,65;;;84;3,07;123;377;0,7;0;0;115;
49;Cereales, Tuberculos y platanos ;1;Galletas dulces, de chocolate, promedio;443,8;6,6;14,2;72,4;3,4;4,24;4,86;4,15;2;31;132;4,01;210;580;1,09;0;3;96;0,09
50;Cereales, Tuberculos y platanos ;;Galletas dulces, tipo María, promedio;481,9;5,1;21,1;67,9;0,8;5,43;11,84;2,66;51;21;80;2,14;63;357;0,43;0;26;82;
51;Cereales, Tuberculos y platanos ;1;Galletas dulces, tipo wafle con relleno, promedio;515,5;4,1;24,3;70,1;0,6;3,62;10,33;9,16;;;56;1,95;59;147;0,35;0;0;84;0
52;Cereales, Tuberculos y platanos ;;Galletas, de agua, tipo saltinas, con sal, Soda;422,67;9,22;11,35;70,91;3;1,66;7;1,25;0;68;101;5,69;154;1072;0,83;0;0;215;
53;Cereales, Tuberculos y platanos ;1;Galletas, de avena, promedio;462,5;6,2;18,1;68,7;2,8;4,52;10,02;2,54;0;37;138;2,58;142;383;0,79;1;5;95;0
54;Cereales, Tuberculos y platanos ;;Galletas, Melvas con chocolate, Delipan;519,48;6,66;26,64;63,27;;16,65;8,33;3,33;;;;0,03;;49,95;;;;;
55;Cereales, Tuberculos y platanos ;7;Galletas, orejas tradicionales, Delipan;519,48;6,66;26,64;63,27;;13,32;9,99;3,33;29,97;;;;;299,7;;;;;
56;Cereales, Tuberculos y platanos ;;Galletas, oreo, Nabisco;493,54;4,78;21,5;70,23;3,2;4,14;3,17;0,82;;24;103;4,9;194;528;1,23;;3;30;
57;Cereales, Tuberculos y platanos ;7;Galletas, original, con sal, Club Social;446,15;7,69;15,38;69,23;;5,77;7,69;0;0;;;;;769,23;;;;;
58;Cereales, Tuberculos y platanos ;;Galletas, original, con sal, Ducales;477,78;7,41;18,52;70,37;0;7,41;7,41;1,85;0;;;;;666,67;;;;;
59;Cereales, Tuberculos y platanos ;7;Galletas, original, con sal, Salticas Mini;486,67;10;20;66,67;;8,33;8,33;1,67;0;;;;;800;;;;;
60;Cereales, Tuberculos y platanos ;;Galletas, tipo tango, promedio;484;4;20;72;4;12;;;;;;;;160;;;;;
61;Cereales, Tuberculos y platanos ;7;Granola, en barra, Quinde;476,2;10,1;19,8;64,4;5,3;2,37;4,38;12,05;;;277;2,95;336;294;2,03;0,9;2;23;0
62;Cereales, Tuberculos y platanos ;1;Harina de cauca, de maíz blanco pilado, enriquecida;359,49;8,48;1,65;77,68;7,4;0,22;0,41;0,71;0;5;84;4,13;;3;0,72;0;0;363;0
63;Cereales, Tuberculos y platanos ;;Harina de cebada, machica;377,32;9,09;1,52;81,82;9,1;0;;;0;27;;0,03;327;0;;;;;
64;Cereales, Tuberculos y platanos ;1;Harina de centeno;363,45;9,39;1,77;77,49;14,6;0,2;0,21;0,77;0;24;207;2,12;340;3;1,99;0;0;19;0
65;Cereales, Tuberculos y platanos ;;Harina de maíz, morada, negro/ azul;364,6;7,3;3,4;76,2;;;;;;12;328;0,2;;;;2,1;8;;
66;Cereales, Tuberculos y platanos ;1;Harina de maíz, promedio, Maizabrosa;360,1;8,5;1,7;77,7;7,4;;;;;110;84;2,9;162;3;0,7;0;662;;0
67;Cereales, Tuberculos y platanos ;;Harina de trigo, integral;358,9;13,8;2,1;71,2;11,4;0,4;0,3;1,1;0;48;390;4;500;3;3,4;0;0;49;
68;Cereales, Tuberculos y platanos ;1;Harina de trigo, refinada, fortificada;355,38;10,33;0,98;76,31;2,7;0,16;0,09;0,41;0;15;108;4,64;107;2;0,7;0;0;291;0
69;Cereales, Tuberculos y platanos ;;Humitas de sal, Valle Lojano;256;4,67;13,33;29,33;0;4,67;;;58,67;;;;;;;;;;
70;Cereales, Tuberculos y platanos ;1;Maicena, almidón de maíz;346,6;0,6;0,2;85,6;0,9;0,01;0,02;0,03;;;16;;3;9;0,06;0;0;0;0
71;Cereales, Tuberculos y platanos ;;Maíz amarillo, crudo;377,38;9,42;4,74;74,26;7,3;0,67;1,25;2,16;0;7;210;2,71;287;35;2,21;0;11;19;
72;Cereales, Tuberculos y platanos ;4;Maíz amarillo, tipo chulpi;366,4;7,7;5,2;72,2;;;;;;5;14;2,5;;;;2;7;310;
73;Cereales, Tuberculos y platanos ;;Maíz amarillo, tostado;468,32;10;15;73,33;6,7;1,67;;;;;;1,2;;600;;0;0;;
74;Cereales, Tuberculos y platanos ;1;Maíz blanco, grano pilado o trillado, morocho, crudo;303,3;8,7;0,9;65,1;;;;;;4;71;2;;;;0;0;;
75;Cereales, Tuberculos y platanos ;;Maíz blanco, tipo mote, sin pelar;351,1;5,7;1,5;78,7;;;;;;;166;4,4;;;;2,1;0;;
76;Cereales, Tuberculos y platanos ;2;Maíz canguil, dulce, de caramelo;420,29;3,12;7,81;84,38;3,01;4,69;;;;;;2,25;452;281;;0;93,6;;
77;Cereales, Tuberculos y platanos ;;Maíz canguil, con sal y aceite, Palomitas de maíz;517,7;9;28,1;57,2;10;4,89;8,17;13,42;0;10;250;2,78;225;884;2,64;0;1;17;
78;Cereales, Tuberculos y platanos ;7;Maíz tostado, con chicharron, Kikos;503,33;23,33;23,33;50;;3,33;13,33;3,33;86,67;;;;;;;;;;
79;Cereales, Tuberculos y platanos ;;Maíz y trigo, tortilla;197,56;4,88;2,44;39,02;2,4;0;;;0;;;0,88;;220;;0;0;;
80;Cereales, Tuberculos y platanos ;1;Maíz, negro/azul, grano entero, crudo;377,38;9,42;4,74;74,26;;0,67;1,25;2,16;0;7;210;2,71;287;35;2,21;0;0;;0
81;Cereales, Tuberculos y platanos ;;Maíz, tipo canguil, crudo;403,74;12,94;4,54;77,78;14,5;0,64;0,95;2,32;0;7;358;3,19;329;8;3,08;0;10;31;
82;Cereales, Tuberculos y platanos ;7;Maíz, tipo chulpi, picante, Las popis;506,67;10;26,67;56,67;3,33;6,67;10;10;;;;;;566,67;;;;;
83;Cereales, Tuberculos y platanos ;;Maíz, tipo chulpi, sabor ají criollo, Dicorne;470;10;16,67;70;;3,33;6,67;8,33;0;;;;;500;;;;;
84;Cereales, Tuberculos y platanos ;7;Maíz, tipo tostado, picante, La Quiteña;486,67;6,67;20;70;0;5;6,67;6,67;0;;;;;416,67;;;;;
85;Cereales, Tuberculos y platanos ;;Maíz, tortilla de maíz amarillo, asada;143,8;2,7;0,6;31,9;;;;;;26;17;1;;;;;;;
86;Cereales, Tuberculos y platanos ;7;Maíz, tortillas de maíz, artesanales, Taconazo;256,67;6,67;3,33;50;;0;0;0;;;;;;0;;;;;
87;Cereales, Tuberculos y platanos ;;Mote pillo, maíz blanco cocido, huevo, frito, comercialmente preparado, con sal;157,15;2,35;7,31;20,49;;;;;;9;66;0,7;60;264;0,44;;;;
88;Cereales, Tuberculos y platanos ;5;Mote sucio, maíz blanco cocido, manteca negra de cerdo, chicharrón, frito, comercialmente preparado;157,54;;7,18;23,23;;;;;;26;233;1,93;304;720;1,59;;;;
89;Cereales, Tuberculos y platanos ;;Pan de centeno, tostado;282,4;9,4;3,6;53,1;6,4;0,69;1,44;0,87;0;80;138;3,1;183;664;1,25;0,2;0;148;
90;Cereales, Tuberculos y platanos ;1;Pan, blanco, rodaja, cuadrado, suave, Supan;262,61;7,64;3,29;50,61;2,4;0,72;0,68;1,36;0;151;99;3,74;100;681;0,74;0;0;171;0
91;Cereales, Tuberculos y platanos ;;Pan, blanco, rodaja, cuadrado, tostado, Supan;289,6;9;4;54,4;2,5;0,58;0,8;2,09;;;103;3,33;1,31;592;0,68;0;0;159;
92;Cereales, Tuberculos y platanos ;1;Pan, blanco, tipo pita;270;9,1;1,2;55,7;2,2;0,17;0,1;0,54;0;86;97;1,4;120;536;0,84;0;0;24;0
93;Cereales, Tuberculos y platanos ;;Pan, de bizcocho, horneado, comercialmente preparado;345,7;7,5;6,5;64,3;;;;;;;54;1,79;84;387;0,69;;;;
94;Cereales, Tuberculos y platanos ;5;Pan, de cachos, horneado, comercialmente preparado;332;9,5;6,8;58,2;;;;;;;18;1,57;57;298;0,61;;;;
95;Cereales, Tuberculos y platanos ;;Pan, de caracol, dulce, horneado, comercialmente preparado;310,2;7,1;5,8;57,4;;;;;;;77;2,7;79;47;0,64;;;;
96;Cereales, Tuberculos y platanos ;1;Pan, de centeno;256,7;9,2;0,7;53,4;5,8;0,63;1,31;0,8;0;38;178;2,8;166;660;1,14;0;0;151;0
97;Cereales, Tuberculos y platanos ;;Pan, de chocolate, horneado, comercialmente preparado;327,4;8,8;5,8;60;;;;;;;89;1,02;66;384;0,93;;;;
98;Cereales, Tuberculos y platanos ;2;Pan, de germen de trigo/trigo entero;252,14;12,45;3,5;42,71;6;0,72;0,62;1,59;0;;212;2,47;254;455;1,77;0;0;42;0
99;Cereales, Tuberculos y platanos ;;Pan, de leche, horneado, comercialmente preparado;346,6;8,9;7,4;61,1;;;;;;38;161,9;1,55;79;297;0,66;;;;
100;Cereales, Tuberculos y platanos ;5;Pan, de maíz, horneado, comercialmente preparado;317,2;8,6;3,6;62,6;;;;;;21;72;1,86;71;334;0,97;;;;
101;Cereales, Tuberculos y platanos ;;Pan, de salvado de trigo, tipo bagel;250,13;10,2;1,53;48,89;4,1;0;0,29;0,94;0;;142;2,76;175;439;1,1;0;0;76;
102;Cereales, Tuberculos y platanos ;2;Pan, de trigo;273,61;10,67;4,53;47,54;4;0,69;0,61;1,61;0;125;141;3,6;141;473;1,04;0,2;0;99;0
103;Cereales, Tuberculos y platanos ;;Pan, de trigo, tostado;313,35;12,96;4,27;55,77;4,7;0,99;1,02;1,72;0;165;223;4,09;223;601;1,47;0,2;0;100;
104;Cereales, Tuberculos y platanos ;5;Pan, de yemas, con sal, horneado, comercialmente preparado;304,8;9,2;4;58;;;;;;;169;7,94;152;90;1,69;;;;
105;Cereales, Tuberculos y platanos ;;Pan, de yuca;301,25;7,5;11,25;42,5;0;6,25;;;50;150;;0;;875;;0;75;;
106;Cereales, Tuberculos y platanos ;5;Pan, empanada, dulce, horneado, comercialmente preparado;342,4;8,6;7,2;60,8;;;;;;49;90;1,43;70;206;0,7;;;;
107;Cereales, Tuberculos y platanos ;;Pan, empanada, sal, horneado, comercialmente preparado;338,3;9,3;7,1;59,3;;;;;;60;103;1,66;81;395;0,92;;;;
108;Cereales, Tuberculos y platanos ;5;Pan, enquesillado, rodillas de cristo, horneado, comercialmente preparado;345,1;9,7;8,3;57,9;;;;;;12;55;7,21;183;171;2,49;;;;
109;Cereales, Tuberculos y platanos ;;Pan, integral, de trigo;253,55;12,3;3,55;43,1;6;0,73;0,62;1,61;;163;212;2,56;250;450;1,76;;;42;
110;Cereales, Tuberculos y platanos ;2;Pan, integral, de trigo, tostado;306,35;16,27;4,07;51,16;7,5;0,92;1,97;0,74;0;130;303;2,96;326;565;2,15;0;0;52;0
111;Cereales, Tuberculos y platanos ;;Pan, integral, rodaja, cuadrado, suave;261;9,7;4,2;46,1;6,9;0,92;1,68;1;0;72;229;3,3;252;527;1,94;0;0;50;
112;Cereales, Tuberculos y platanos ;1;Pan, integral, rodaja, cuadrado, tostado;293,6;10,9;4,8;51,7;7,4;1,03;1,89;1,13;;;258;3,71;283;592;2,18;0;0;39;0,01
113;Cereales, Tuberculos y platanos ;;Pan, integral, tipo pita;282,6;9,8;2,6;55;7,4;0,41;0,35;1,05;;;180;3,06;170;532;1,52;0;0;35;
114;Cereales, Tuberculos y platanos ;5;Pan, mestizo de sal, con queso, horneado, comercialmente preparado;304,8;8,8;3,6;59,3;;;;;;;121;2,22;111;396;1,04;;;;
115;Cereales, Tuberculos y platanos ;;Pan, negro, de centeno;252,7;8,7;3,1;47,5;6,8;0,44;0,93;1,24;0;68;178;2,87;208;596;1,48;0;0;93;
116;Cereales, Tuberculos y platanos ;2;Pan, negro, de centeno, tostado;277,73;9,56;3,41;52,2;7,1;0,48;1,02;1,36;;;196;3,15;229;655;1,63;0;0;87;0
117;Cereales, Tuberculos y platanos ;;Pan, para hamburguesa o hotdog, multicereal;270,8;9,6;6;44,6;3,8;1,39;2,84;1,15;;;122;3,95;160;458;1,05;0;0;111;
118;Cereales, Tuberculos y platanos ;2;Pan, para hamburguesa o hotdog, regular;274,75;9,77;3,91;50,12;1,8;0,84;0,75;1,78;0;144;101;3,43;122;494;0,73;1,3;29;94;0,2
119;Cereales, Tuberculos y platanos ;;Pasta, fideo chino, fortificado, cocido;137,43;4,54;2,07;25,16;1,2;0,42;0,58;0,55;29;;76;1,47;38;5;0,65;0;6;84;
120;Cereales, Tuberculos y platanos ;2;Pasta, fideo chino, fortificado, crudo;381,68;14,16;4,44;71,27;3,3;1,18;1,25;1,33;84;;2,41;4,01;244;21;1,92;0;17;230;0,29
121;Cereales, Tuberculos y platanos ;;Pasta, fideo de arroz, cocido;105;1,79;0,2;24,01;1;0,02;0,03;0,02;0;4;20;0,14;4;19;0,25;0;0;1;
122;Cereales, Tuberculos y platanos ;2;Pasta, fideo de arroz, crudo;349,56;5,95;0,56;80,18;1,6;0,15;0,18;0,15;0;;0,7;10,57;30;182;0,74;0;0;3;0
123;Cereales, Tuberculos y platanos ;;Pasta, fideo, sin enriquecer, cocida;155,01;5,8;0,93;30,86;1,18;0,18;0,13;0,32;;;58;0,5;45;1;0,5;0;0;7;
124;Cereales, Tuberculos y platanos ;1;Pasta, fideo, sin enriquecer, cruda;364,83;13,04;1,51;74,77;3,2;0,28;0,17;0,56;0;18;150;130;162;5;1,26;0;0;18;0
125;Cereales, Tuberculos y platanos ;;Pasta, fideo, sin enriquecer, promedio;355,4;10,3;1;76,3;6,3;0,45;0,69;1,42;0;81;314;1,23;186;45;1,31;0;2;5;
126;Cereales, Tuberculos y platanos ;1;Pasta, fideo/spaghetti, de espinaca, cocida;128,59;4,58;0,63;26,15;0;0,09;0,07;0,26;0;30;108;1,04;58;14;1,08;;8;12;0
127;Cereales, Tuberculos y platanos ;;Pasta, fideo/spaghetti, de espinaca, cruda;366,77;13,35;1,57;74,81;10,6;0,23;0,18;0,64;0;58;332;2,13;376;36;2,76;0;23;48;
128;Cereales, Tuberculos y platanos ;7;Pasta, fideos promedio, Supermaxi;365,45;14,55;1,82;72,73;0;0;;;0;;;;;18,18;;;;;
129;Cereales, Tuberculos y platanos ;;Pasta, spaguetti, integral, crudo;374,12;10,71;2,68;76,79;10,7;0;;;0;71;;4,82;;0;;0;0;;
130;Cereales, Tuberculos y platanos ;7;Pasta, tallarin, oriental de pollo, instantaneo, Rapidito;468;12;20;60;0;12;8;4;36;;;;;1480;;;;;
131;Cereales, Tuberculos y platanos ;;Pasta, spaguetti, enriquecida, fortificado, cocida;155,01;5,8;0,93;30,86;1,8;0,18;0,13;0,33;0;7;58;1,33;45;1;0,5;0;0;119;
132;Cereales, Tuberculos y platanos ;1;Pasta, spaguetti, enriquecida, fortificado, cruda;364,43;13,04;1,51;74,67;3,2;0,28;0,17;0,56;;;150;3,52;162;5;1,26;0;0;391;0
133;Cereales, Tuberculos y platanos ;;Pinol, harina de cebada, simple;385;11,2;5,4;72,9;;0,6;1,8;3,3;;;73;0,9;;;;;0;;
134;Cereales, Tuberculos y platanos ;5;Pizza, horneada, comercialmente preparada;268,33;11,25;10,93;31,24;;;;;;;189;2,42;152;655;1,72;;;;
135;Cereales, Tuberculos y platanos ;;Quimbolito, dulce, El Casero;307,2;8;12,8;40;0;6,4;3,2;2,4;106,4;;;;;;;;;;
136;Cereales, Tuberculos y platanos ;2;Quinua, cocida;120,08;4,4;1,92;21,3;2,8;0,23;0,53;1,08;0;17;172;1,49;172;7;1,09;0;;42;0
137;Cereales, Tuberculos y platanos ;;Quinua, cruda;367,75;14,12;6,07;64,16;7;0,71;1,61;3,29;;;563;4,57;563;5;3,1;;1;184;
138;Cereales, Tuberculos y platanos ;5;Tamal, harina de maíz, cerdo con verduras, sal, cocido a vapor, comercialmente preparado;173,9;3,81;11,06;14,78;;;;;;;45;0,4;107;343;0,36;;;;
139;Cereales, Tuberculos y platanos ;;Tortilla, choclo, asada, comercialmente preparado;266,34;4,98;10,98;36,9;;;;;;;171;0,52;144;452;0,8;;;;
140;Cereales, Tuberculos y platanos ;5;Tortilla, maíz blanco, asada, comercialmente preparado;341,91;9,38;16,99;37,87;;;;;;99;255;1,41;128;447;1,1;;;;
141;Cereales, Tuberculos y platanos ;;Trigo, arroz de trigo, Camari;344,1;13;1,7;69,2;2,9;;;;;54;0;3,7;;;;;;;
142;Cereales, Tuberculos y platanos ;2;Trigo, germen de trigo, crudo;387,28;23,15;9,72;51,8;13,2;1,66;1,37;6,01;0;;842;6,26;892;12;12,29;0;0;281;0
143;Cereales, Tuberculos y platanos ;;Trigo, grano entero;361,47;13,68;2,47;71,13;7,1;0,48;1,02;1,36;0;74;195;3,15;228;655;1,62;0;0;87;
144;Cereales, Tuberculos y platanos ;2;Trigo, salvado de trigo, crudo;358,49;15,55;4,25;64,51;42,8;0,63;0,64;2,21;;;1013;10,57;1182;2;7,27;0;0;79;0
145;Cereales, Tuberculos y platanos ;;Achira, blanca, rizoma, raíz;101,7;1,4;0,1;23,8;;;;;;13;58;0,7;;;;0,7;;;
146;Cereales, Tuberculos y platanos ;3;Achira, morada, rizoma, raíz;99,3;1,4;0,1;23,2;;;;;;17;91;1,4;;;;0,1;;;
147;Cereales, Tuberculos y platanos ;;Almidón, de achira, harina de flecha;354,7;0,3;0,1;88,15;3,4;0,02;0;0,05;0;40;5;0,33;11;2;0,07;0;0;7;
148;Cereales, Tuberculos y platanos ;1;Almidón, de yuca o mandioca;335,3;1,7;0,5;81;;;;;;148;104;5,4;;;;14;;;
149;Cereales, Tuberculos y platanos ;;Camote, con cáscara, cocido;77,62;1,37;0,14;17,72;2,5;0,04;0;0,08;0;27;32;0,72;230;27;0,2;13;787;6;
150;Cereales, Tuberculos y platanos ;1;Camote, con cáscara, crudo;87,21;1,57;0,05;20,12;3;0,02;0;0,01;0;30;47;0,61;337;55;0,3;2;709;11;0
151;Cereales, Tuberculos y platanos ;;Harina de camote, Vitavilena;333,33;3,33;0;80;0;;;;;;;;;166,67;;;;;
152;Cereales, Tuberculos y platanos ;1;Harina de plátano;334,4;3,1;0,4;79,6;9,9;0,03;0,02;0,05;;;104;3,9;;;0,61;1,3;;;
153;Cereales, Tuberculos y platanos ;;Mashua;46,1;0,7;0,1;10,6;2,9;;;;;;;0,37;;;0,28;42,06;12;;
154;Cereales, Tuberculos y platanos ;1;Ñame, yam, crudo;119,17;1,53;0,17;27,88;4,1;0,04;0,01;0,08;;;55;0,54;816;9;0,24;17;7;23;0
155;Cereales, Tuberculos y platanos ;;Ñame, yam, escurrido, cocido sin sal;117,54;1,49;0,14;27,58;3,9;0,03;0;0,06;0;14;49;0,52;670;8;0,2;12;6;16;
